 61 2931.579835 9.167E-25 2.768E-01.04400.069 1679.56300.75-.005863    0 0 1 1 1E     0 0 0 1 1F2    7F2 57         8F1  3     332333332329 1 1 1    45.0   51.0
 61 2932.591755 2.364E-24 5.535E-01.04400.069 1597.63660.75-.005865    0 0 1 1 1E     0 0 0 1 1F2    6F2 47         7F1  4     332333332329 1 1 1    39.0   45.0
 61 2933.717909 9.924E-24 1.389E+00.04700.099 1596.72600.75-.005867    0 0 1 1 1E     0 0 0 1 1F2    6A2 15         7A1  2     332333332329 1 1 1    65.0   75.0
 61 2934.053536 4.783E-23 1.334E+01.04400.069 1633.38770.75-.005868    0 0 1 1 1E     0 0 0 1 1F2    6F2 61         7F1  6     332333332329 1 1 1    39.0   45.0
 61 2934.107360 2.810E-23 1.160E+01.03200.055 1630.61040.75-.005868    0 0 1 1 1E     0 0 0 1 1F2    6E  38         7E   3     332333332329 1 1 1    26.0   30.0
 61 2934.229383 4.464E-23 1.226E+01.04400.069 1630.17540.75-.005868    0 0 1 1 1E     0 0 0 1 1F2    6F2 58         7F1  5     332333332329 1 1 1    39.0   45.0
 61 2934.306038 1.016E-24 1.158E+00.02900.051 1938.25420.75-.005869    0 0 1 1 1E     0 0 0 1 1F2   10E  50        11E   2     332333332329 1 1 1    42.0   46.0
 61 2934.331685 1.507E-24 1.145E+00.03900.063 1938.23470.75-.005869    0 0 1 1 1E     0 0 0 1 1F2   10F2 75        11F1  3     332333332329 1 1 1    63.0   69.0
 61 2934.398654 2.447E-24 1.115E+00.04500.106 1938.19350.75-.005869    0 0 1 1 1E     0 0 0 1 1F2   10A2 24        11A1  1     332333332329 1 1 1   105.0  115.0
 61 2936.405128 8.171E-25 6.039E-01.04500.106 2056.05570.75-.005873    0 0 1 1 1E     0 0 0 1 1F2   11A2 29        12A1  1     332333332329 1 1 1   115.0  125.0
 61 2936.649894 3.061E-25 3.768E-01.03900.063 2055.91700.75-.005873    0 0 1 1 1E     0 0 0 1 1F2   11F2 83        12F1  2     332333332329 1 1 1    69.0   75.0
 61 2937.202221 8.211E-25 1.886E-01.04400.069 1593.02610.75-.005874    0 0 1 1 1E     0 0 0 1 1F2    6F2 47         7F1  3     332333332329 1 1 1    39.0   45.0
 61 2938.793752 8.171E-23 1.937E+01.04400.069 1599.28410.75-.005878    0 0 1 1 1E     0 0 0 1 1F2    6F1 49         7F2  3     332333332329 1 1 1    39.0   45.0
 61 2943.112775 2.507E-24 1.245E+00.03900.062 1828.88920.75-.005886    0 0 1 1 1E     0 0 0 1 1F2    9F1 69        10F2  3     332333332329 1 1 1    57.0   63.0
 61 2943.196897 2.403E-24 1.193E+00.03900.062 1828.82680.75-.005886    0 0 1 1 1E     0 0 0 1 1F2    9F2 66        10F1  2     332333332329 1 1 1    57.0   63.0
 61 2943.890654 1.124E-24 2.208E-01.04400.069 1525.58700.75-.005888    0 0 1 1 1E     0 0 0 1 1F2    5F1 41         6F2  3     332333332329 1 1 1    33.0   39.0
 61 2944.281484 7.015E-25 5.322E-01.03900.063 1936.53120.75-.005889    0 0 1 1 1E     0 0 0 1 1F2   10F2 78        11F1  2     332333332329 1 1 1    63.0   69.0
 61 2944.317310 1.184E-22 1.622E+01.04700.099 1556.48170.75-.005889    0 0 1 1 1E     0 0 0 1 1F2    5A2 18         6A1  2     332333332329 1 1 1    55.0   65.0
 61 2944.706400 4.863E-23 1.097E+01.04400.069 1553.98970.75-.005889    0 0 1 1 1E     0 0 0 1 1F2    5F1 49         6F2  4     332333332329 1 1 1    33.0   39.0
 61 2944.709863 5.660E-25 4.291E-01.03900.063 1936.35220.75-.005889    0 0 1 1 1E     0 0 0 1 1F2   10F1 77        11F2  2     332333332329 1 1 1    63.0   69.0
 61 2944.778447 3.480E-24 6.819E-01.04400.069 1524.93960.75-.005890    0 0 1 1 1E     0 0 0 1 1F2    5F2 39         6F1  3     332333332329 1 1 1    33.0   39.0
 61 2948.249065 3.468E-24 6.698E-01.04400.069 1521.46900.75-.005896    0 0 1 1 1E     0 0 0 1 1F2    5F2 39         6F1  2     332333332329 1 1 1    33.0   39.0
 61 2949.112415 1.654E-22 1.962E+01.04700.099 1526.21460.75-.005898    0 0 1 1 1E     0 0 0 1 1F2    5A1 13         6A2  1     332333332329 1 1 1    55.0   65.0
 61 2949.253964 9.765E-23 1.925E+01.04400.069 1525.58700.75-.005899    0 0 1 1 1E     0 0 0 1 1F2    5F1 43         6F2  3     332333332329 1 1 1    33.0   39.0
 61 2951.484420 6.816E-24 1.411E+00.04500.100 1729.88950.75-.005903    0 0 1 1 1E     0 0 0 1 1F2    8A1 21         9A2  1     332333332329 1 1 1    85.0   95.0
 61 2951.623149 3.850E-24 1.328E+00.03900.062 1729.80860.75-.005903    0 0 1 1 1E     0 0 0 1 1F2    8F1 59         9F2  2     332333332329 1 1 1    51.0   57.0
 61 2951.678188 2.471E-24 1.278E+00.02900.050 1729.76150.75-.005903    0 0 1 1 1E     0 0 0 1 1F2    8E  41         9E   2     332333332329 1 1 1    34.0   38.0
 61 2951.728173 1.184E-24 5.867E-01.03900.062 1827.29210.75-.005903    0 0 1 1 1E     0 0 0 1 1F2    9F1 71        10F2  2     332333332329 1 1 1    57.0   63.0
 61 2952.765552 8.529E-25 1.744E-01.04400.068 1491.32190.75-.005906    0 0 1 1 1E     0 0 0 1 1F2    4F2 41         5F1  4     332333332329 1 1 1    27.0   33.0
 61 2952.772564 1.088E-24 3.231E-01.04500.100 1826.88460.75-.005906    0 0 1 1 1E     0 0 0 1 1F2    9A1 23        10A2  1     332333332329 1 1 1    95.0  105.0
 61 2953.547980 1.487E-22 1.820E+01.04700.094 1490.70480.75-.005907    0 0 1 1 1E     0 0 0 1 1F2    4A2 12         5A1  1     332333332329 1 1 1    45.0   55.0
 61 2954.179000 9.645E-23 1.974E+01.04400.068 1491.32190.75-.005908    0 0 1 1 1E     0 0 0 1 1F2    4F2 42         5F1  4     332333332329 1 1 1    27.0   33.0
