nu,[0]CH4-HITRAN:X=0.0001-T=300K-P=0.13157894736842105atm-L=100cm
2506.97,6.875137617960956e-8
2506.98,1.1054357163347578e-7
2506.99,2.3267173197088574e-7
2507,8.29480048163744e-7
2507.01,0.0000010655678272566305
2507.02,2.9829216926760337e-7
2507.03,1.2364364108673502e-7
2507.04,7.852172309782056e-8
2507.05,6.402843738130719e-8
2507.06,6.101483982124383e-8
2507.07,7.605639074663797e-8
2507.08,1.187471591617973e-7
2507.09,8.227037612076654e-8
2507.1,6.487575187675113e-8
2507.11,6.58735869788043e-8
2507.12,7.422884593816016e-8
2507.13,8.957814080922978e-8
2507.14,1.1574147199884434e-7
2507.15,1.6306523895081397e-7
2507.16,2.606761458944023e-7
2507.17,5.161368621105384e-7
2507.18,0.0000015882520516013812
2507.19,0.0000064629365497025765
2507.2,0.000003519408758266999
2507.21,8.462473109130073e-7
2507.22,3.66132649056882e-7
2507.23,2.188375922337208e-7
2507.24,1.5749659739856375e-7
2507.25,1.2961320024580242e-7
2507.26,1.1864390996256418e-7
2507.27,1.1923830245743102e-7
2507.28,1.3137111340153304e-7
2507.29,1.6097049290120386e-7
2507.3,2.3113463349897165e-7
2507.31,4.6277086490372393e-7
2507.32,0.000001196920055061401
2507.33,9.73487586204554e-7
2507.34,0.0000011933064372231945
2507.35,0.00000350263907680889
2507.36,0.000006580307571885388
2507.37,0.000002129072584186903
2507.38,7.495115819073665e-7
2507.39,4.252182113415723e-7
2507.4,3.4303360418294696e-7
2507.41,4.1218626558040444e-7
2507.42,9.218647867641478e-7
2507.43,0.0000023841079444317727
2507.44,0.0000012117622599714263
2507.45,9.225920027227945e-7
2507.46,0.0000022185091778896346
2507.47,0.0000013123515975484274
2507.48,4.0961455956359253e-7
2507.49,2.159420555710956e-7
2507.5,1.8071334618457512e-7
2507.51,1.998043562591817e-7
2507.52,1.1677683713515949e-7
2507.53,8.656553682186296e-8
2507.54,8.085760732571506e-8
2507.55,9.359780566753406e-8
2507.56,1.771477591648786e-7
2507.57,3.94787507453723e-7
2507.58,3.219846217324488e-7
2507.59,1.235703356048709e-7
2507.6,7.941579154331439e-8
2507.61,7.008207859809033e-8
2507.62,7.100887652415035e-8
2507.63,7.74852501094713e-8
2507.64,9.153092958355602e-8
2507.65,1.1773887936060644e-7
2507.66,1.68806602178004e-7
2507.67,2.837808420121821e-7
2507.68,6.260103080258218e-7
2507.69,0.000002151678793626839
2507.7,0.00000418922245417542
2507.71,0.000001387834232458754
2507.72,4.6904442838655735e-7
2507.73,2.36720124987052e-7
2507.74,1.4724230453115542e-7
2507.75,1.06290205068571e-7
2507.76,8.675570050093716e-8
2507.77,7.722711835129655e-8
2507.78,7.094054073782233e-8
2507.79,6.223933884338978e-8
2507.8,6.36863458931966e-8
2507.81,7.631814005549003e-8
2507.82,1.2014075645484066e-7
2507.83,3.01980133642601e-7
2507.84,6.085750834349454e-7
2507.85,2.611221551292922e-7
2507.86,1.1470473762538784e-7
2507.87,6.852358082582628e-8
2507.88,5.383798985001571e-8
2507.89,5.027675824375962e-8
2507.9,6.216293084759176e-8
2507.91,1.15699282630848e-7
2507.92,9.160241185465342e-8
2507.93,1.1602507406245747e-7
2507.94,5.989750863717625e-8
2507.95,4.471756176523615e-8
2507.96,4.28635979237601e-8
2507.97,4.534204981021051e-8
2507.98,5.867557589856987e-8
2507.99,6.051217743451706e-8
2508,8.486757113037549e-8
2508.01,7.120720544710454e-8
2508.02,5.746775831575815e-8
2508.03,5.815514339327553e-8
2508.04,6.270043780900492e-8
2508.05,6.950550410300208e-8
2508.06,7.837089928809365e-8
2508.07,9.047893688367982e-8
2508.08,1.0699889180905611e-7
2508.09,1.3007277068722445e-7
2508.1,1.6351012037743574e-7
2508.11,2.1443929866188025e-7
2508.12,2.974206901189748e-7
2508.13,4.460518191524788e-7
2508.14,7.528057157938732e-7
2508.15,0.0000015539919504199965
2508.16,0.0000047277487306746186
2508.17,0.000015360898391971105
2508.18,0.000008367984203383025
2508.19,0.000002302668786906976
2508.2,9.832329987791808e-7
2508.21,5.504412357610209e-7
2508.22,3.589842856729965e-7
2508.23,2.5154648508253204e-7
2508.24,1.9669488329645558e-7
2508.25,1.7983993468386986e-7
2508.26,1.4466466582993252e-7
2508.27,1.1160284286639925e-7
2508.28,9.768177300052692e-8
2508.29,9.420482848992079e-8
2508.3,1.0425247953224402e-7
2508.31,1.6032112112933572e-7
2508.32,3.695568868774369e-7
2508.33,3.193699054498086e-7
2508.34,1.6689769837786003e-7
2508.35,1.5509955157289096e-7
2508.36,1.9193242971658495e-7
2508.37,1.3006802981224805e-7
2508.38,7.349452239301882e-8
2508.39,7.249655694316865e-8
2508.4,6.413029635354071e-8
2508.41,5.227212033282145e-8
