nu,[0]CH4-HITRAN:X=0.0001-T=300K-P=0.13157894736842105atm-L=100cm
2502.6,0.000005288850948105947
2502.61,0.0000034270960752215076
2502.62,0.0000032629612914277273
2502.63,0.0000020725730737708677
2502.64,0.0000012480697996371142
2502.65,9.144516662792661e-7
2502.66,7.234234082797653e-7
2502.67,5.942887836926326e-7
2502.68,5.017594628495353e-7
2502.69,4.362396272058986e-7
2502.7,3.915150461974789e-7
2502.71,3.5854052093315276e-7
2502.72,3.485084504316361e-7
2502.73,3.8307794701901343e-7
2502.74,6.037704154122735e-7
2502.75,0.0000018943554280258012
2502.76,0.0000014293189782451445
2502.77,4.6097450456844403e-7
2502.78,2.873428528275866e-7
2502.79,2.3238071114017223e-7
2502.8,2.0707828420015894e-7
2502.81,1.9356757749363553e-7
2502.82,1.8603621364157154e-7
2502.83,1.8353887595419062e-7
2502.84,1.8604628125685412e-7
2502.85,1.9365999192098652e-7
2502.86,1.96518559417375e-7
2502.87,2.1636097866904122e-7
2502.88,2.9161113556917077e-7
2502.89,3.090366124236586e-7
2502.9,2.6982689792415736e-7
2502.91,2.970249886407962e-7
2502.92,3.784816568078941e-7
2502.93,6.499624552514653e-7
2502.94,8.051872209871051e-7
2502.95,7.059064455373381e-7
2502.96,9.622080301009058e-7
2502.97,0.0000017464217013563313
2502.98,0.000004625454466955
2502.99,0.000011982107455373323
2503,0.000006897488419956873
2503.01,0.0000025192310067126986
2503.02,0.0000015885517481231774
2503.03,0.00000169738483817099
2503.04,0.0000034445548064929988
2503.05,0.0000063226314690497885
2503.06,0.0000034541592133627267
2503.07,0.00000368105105944723
2503.08,0.000008913975955961154
2503.09,0.000021819731284813414
2503.1,0.000010931796100006185
2503.11,0.0000046275486048476876
2503.12,0.000004882135466481144
2503.13,0.000011870207806678298
2503.14,0.000014471029184541429
2503.15,0.000004975456549114454
2503.16,0.000002085272009872514
2503.17,0.0000012121456534201081
2503.18,8.543126467310475e-7
2503.19,7.14706218480972e-7
2503.2,7.679548736947776e-7
2503.21,6.218756772506752e-7
2503.22,5.651344053109629e-7
2503.23,6.5544155700285e-7
2503.24,0.0000010072920531588085
2503.25,0.0000024516730677568324
2503.26,0.000004524071538618575
2503.27,0.000002015377887074023
2503.28,9.318882897564094e-7
2503.29,6.756851011057774e-7
2503.3,6.251221536974737e-7
2503.31,6.722656686177159e-7
2503.32,8.418416076114672e-7
2503.33,0.0000014439053315642368
2503.34,0.0000022962370222070123
2503.35,0.000001986608073483934
2503.36,0.000002345386691144468
2503.37,0.000003219051245180121
2503.38,0.000006043343013474394
2503.39,0.00001593002897721777
2503.4,0.00004892498590020775
2503.41,0.00003889094221636203
2503.42,0.000011904897031201892
2503.43,0.000004923374621030197
2503.44,0.0000026613009079598512
2503.45,0.0000016749018093479602
2503.46,0.000001162960169499533
2503.47,8.717483423445805e-7
2503.48,7.364098502437112e-7
2503.49,6.144279587568039e-7
2503.5,4.621594981080178e-7
2503.51,3.8715376305238546e-7
2503.52,3.428008295257334e-7
2503.53,3.124732895464694e-7
2503.54,2.998637628155304e-7
2503.55,3.2930960540600076e-7
2503.56,5.007565680236832e-7
2503.57,0.0000013767245661251536
2503.58,0.0000014682717228657593
2503.59,4.877467064003925e-7
2503.6,2.610161784297425e-7
2503.61,1.9108392095737058e-7
2503.62,1.5851576830739481e-7
2503.63,1.3934094394334793e-7
2503.64,1.2644635583110178e-7
2503.65,1.175816221348474e-7
2503.66,1.1110763027361135e-7
2503.67,1.0692833179922331e-7
2503.68,1.0923573376275311e-7
2503.69,1.059614320248622e-7
2503.7,1.0200391463255859e-7
2503.71,1.0646488025037509e-7
