trace_index,strength_rank,delta_j,branch_label,delta_j_strength_rank,lower_j,upper_j,jpair_label,source_mode,available_sources,peak_source,peak_wavenumber_cm-1,peak_exomol_absorbance,peak_hitran_absorbance,exomol_line_count,hitran_line_count,line_count,exomol_source_file_count,hitran_source_file_count,grid_point_count,peak_absorbance,integrated_absorbance,color_hex,source_file_count,plotted_in_figure,labeled_on_figure
71,71,-1,dJ_-1,24,24,23,J 24->23,exomol_only,exomol,exomol,2741.960000,1.785462567930e-19,0.000000000000e+00,67482,0,67482,5,0,100001,1.785462567930e-19,3.531446126903e-19,#d63506,5,yes,no
72,73,0,dJ_+0,24,24,24,J 24->24,exomol_only,exomol,exomol,2969.050000,1.436543093907e-19,0.000000000000e+00,71794,0,71794,5,0,100001,1.436543093907e-19,5.793089618916e-19,#d02f05,5,yes,no
73,72,1,dJ_+1,25,24,25,J 24->25,exomol_only,exomol,exomol,3164.270000,1.586510661409e-19,0.000000000000e+00,81596,0,81596,5,0,100001,1.586510661409e-19,7.562665358754e-19,#ca2a04,5,yes,no
74,74,-1,dJ_-1,25,25,24,J 25->24,exomol_only,exomol,exomol,2722.430000,4.618044543331e-20,0.000000000000e+00,76986,0,76986,5,0,100001,4.618044543331e-20,1.126978039647e-19,#c32503,5,yes,no
75,76,0,dJ_+0,25,25,25,J 25->25,exomol_only,exomol,exomol,2968.900000,3.299046268629e-20,0.000000000000e+00,87648,0,87648,5,0,100001,3.299046268629e-20,1.956246976115e-19,#bc2002,5,yes,no
76,75,1,dJ_+1,26,25,26,J 25->26,exomol_only,exomol,exomol,3187.370000,3.415577948391e-20,0.000000000000e+00,94321,0,94321,5,0,100001,3.415577948391e-20,2.442768008328e-19,#b21a01,5,yes,no
77,78,-1,dJ_-1,26,26,25,J 26->25,exomol_only,exomol,exomol,2719.610000,1.200727718911e-20,0.000000000000e+00,92103,0,92103,5,0,100001,1.200727718911e-20,3.542822539399e-20,#a91601,5,yes,no
78,79,0,dJ_+0,26,26,26,J 26->26,exomol_only,exomol,exomol,2963.610000,1.157032468190e-20,0.000000000000e+00,99997,0,99997,5,0,100001,1.157032468190e-20,6.129852329090e-20,#a11201,5,yes,no
79,77,1,dJ_+1,27,26,27,J 26->27,exomol_only,exomol,exomol,3181.370000,1.404107721124e-20,0.000000000000e+00,106569,0,106569,5,0,100001,1.404107721124e-20,7.647049384799e-20,#980e01,5,yes,no
80,80,-1,dJ_-1,27,27,26,J 27->26,exomol_only,exomol,exomol,2711.150000,4.431409695324e-21,0.000000000000e+00,113657,0,113657,5,0,100001,4.431409695324e-21,1.126199851278e-20,#8e0a01,5,yes,no
81,82,0,dJ_+0,27,27,27,J 27->27,exomol_only,exomol,exomol,2955.480000,2.645060765570e-21,0.000000000000e+00,124390,0,124390,5,0,100001,2.645060765570e-21,1.980054243040e-20,#850702,5,yes,no
82,81,1,dJ_+1,28,27,28,J 27->28,exomol_only,exomol,exomol,3191.460000,3.475963716563e-21,0.000000000000e+00,130313,0,130313,5,0,100001,3.475963716563e-21,2.449029595274e-20,#7a0403,5,yes,no
